店舗ID: 17002303, みちわ寿し, 金沢市 / 寿司, 評価：4.51, 口コミ： - 件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.32, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.3, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.28, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.27, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.23, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.15, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.11, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.01, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：0.0, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：0.0, 口コミ：272件
店舗ID: 17000049, 若葉, 金沢市 / おでん, 評価：3.57, 口コミ：84件
店舗ID: 17000048, 千取寿司 本店, 金沢市 / 寿司, 評価：3.52, 口コミ：144件
店舗ID: 17003723, 春甚, 金沢市 / 日本料理、レストラン, 評価：3.23, 口コミ：28件
店舗ID: 17013128, まんぷく食堂 悠有, 金沢市 / 食堂、居酒屋, 評価：3.19, 口コミ：22件
店舗ID: 17012610, Pistrina EighSky, 金沢市 / パン, 評価：3.17, 口コミ：12件
店舗ID: 17001043, 北極, 金沢市 / 洋食, 評価：3.14, 口コミ：28件
店舗ID: 17004076, ジョーハウス 石引店, 金沢市 / カレー、アジア・エスニック, 評価：3.13, 口コミ：32件
店舗ID: 17009500, 珉来 大学病院前, 金沢市 / 中華料理, 評価：3.13, 口コミ：23件
店舗ID: 17013093, Meat ぴあ 賑, 金沢市 / ステーキ、牛料理, 評価：3.13, 口コミ：12件
店舗ID: 17005227, SAKE SHOP 福光屋 金沢本店, 金沢市 / その他, 評価：3.12, 口コミ：73件
店舗ID: 17010444, 月の砂漠, 金沢市 / カフェ、居酒屋, 評価：3.11, 口コミ：11件
店舗ID: 17001540, 高砂屋, 金沢市 / 和菓子, 評価：3.09, 口コミ：17件
店舗ID: 17003751, 石橋屋, 金沢市 / お好み焼き、オムライス、食堂, 評価：3.07, 口コミ：14件
店舗ID: 17011891, 石引Veeda, 金沢市 / 居酒屋、ワインバー、バル, 評価：3.06, 口コミ：9件
店舗ID: 17006294, 別所文玉堂, 金沢市 / 和菓子、洋菓子、パン, 評価：3.06, 口コミ：8件
店舗ID: 17012865, 橘珈琲店, 金沢市 / カフェ, 評価：3.05, 口コミ：5件
店舗ID: 17015253, 食堂sasanqua, 金沢市 / 食堂、ケーキ, 評価：3.05, 口コミ：4件
店舗ID: 17014839, 竹珠, 金沢市 / 居酒屋, 評価：3.05, 口コミ：3件
店舗ID: 17003235, ドンブリックエイト, 金沢市 / レストラン, 評価：3.04, 口コミ：7件
店舗ID: 17013257, かふぇどるーふ, 金沢市 / カフェ, 評価：3.04, 口コミ：2件
店舗ID: 17002964, リリー, 金沢市 / 喫茶店, 評価：3.03, 口コミ：6件
店舗ID: 17004839, 木村屋ベーカリー, 金沢市 / パン、サンドイッチ, 評価：3.03, 口コミ：5件
店舗ID: 17008662, なかむら生菓子店, 金沢市 / 和菓子, 評価：3.03, 口コミ：4件
店舗ID: 17011343, 加賀豆腐 大鋸本店, 金沢市 / その他, 評価：3.03, 口コミ：4件
店舗ID: 17013072, 33sunny, 金沢市 / カフェ, 評価：3.02, 口コミ：1件
店舗ID: 17013803, チョムスキー コーヒー＆ライブラリー, 金沢市 / カフェ, 評価：3.02, 口コミ：1件
店舗ID: 17013522, 旬菜酒場 だるま, 金沢市 / 居酒屋, 評価：3.02, 口コミ：1件
店舗ID: 17002523, やきとり 大吉 小立野店, 金沢市 / 焼き鳥, 評価：3.01, 口コミ：6件
店舗ID: 17001909, 大吉, 金沢市 / 焼肉, 評価：3.01, 口コミ：4件
店舗ID: 17010864, 山長亭, 金沢市 / 食堂, 評価：3.01, 口コミ：2件
店舗ID: 17001910, かわだ, 金沢市 / 焼肉, 評価：3.01, 口コミ：1件
